#2M_440_COMPROMISE_2M_RAD_ONLY: S W R (Z0 = 50 ohm),
#Freq [MHz],S W R [SWR]
140,1.622875702
141,1.435322662
142,1.271545028
143,1.12951254
144,1.02620255
145,1.123834603
146,1.255814545
147,1.400466328
148,1.557260728
149,1.72612709
150,1.906992989
